Sintoma_predicho;Variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Congestión_nasal;C(Localidad)[T.USME];-0,28986397294552957;0,22527895661722008;0,20146631898400108;-0,7373529457412383;0,1576249998501792;0,2732143503749388;0,15541185005051325
Congestión_nasal;CO;-0,10689325765243701;0,06634933161062961;0,11062831948121231;-0,23868805417473668;0,024901538869862655;0,2732143503749388;0,15541185005051325
Congestión_nasal;NO2;-0,017415988802841325;0,05737441901863353;0,7621638951224488;-0,13138322398949598;0,09655124638381334;0,2732143503749388;0,15541185005051325
Congestión_nasal;O3;-0,050052111536481966;0,038878696858934844;0,20122248961754885;-0,127279866770637;0,027175643697673058;0,2732143503749388;0,15541185005051325
Congestión_nasal;SO2;0,09033040568897585;0,05788126954218103;0,1220856507955133;-0,024643625798358687;0,2053044371763104;0,2732143503749388;0,15541185005051325
Congestión_nasal;PM25;0,023971610630467967;0,0596179938715895;0,6885629785755243;-0,09445221038832655;0,1423954316492625;0,2732143503749388;0,15541185005051325
Congestión_nasal;PM10;0,07715791614321668;0,09986799785192459;0,44176177703187947;-0,12121759324737386;0,2755334255338072;0,2732143503749388;0,15541185005051325
Todos;Intercept;0,4962407059928857;0,1904038010769952;0,010694906573748594;0,11802694541907555;0,8744544665666959;0,2880271640456147;0,282319920023178
Todos;C(Estrato)[T.2];-0,114178769873375;0,09163201262568778;0,2159416282719831;-0,2961945063664395;0,06783696661968949;0,2880271640456147;0,282319920023178
Todos;C(Estrato)[T.3];-0,11675530487530983;0,0947707233300542;0,22113175670952645;-0,30500570460585696;0,07149509485523728;0,2880271640456147;0,282319920023178
Todos;C(Estrato)[T.4];-0,06048398773686351;0,11419290829828524;0,597634092531004;-0,28731417197719744;0,16634619650347043;0,2880271640456147;0,282319920023178
Todos;C(Estrato)[T.5];0,42745421212298323;0,17085013725921236;0,014138706782252689;0,08808140264199882;0,7668270216039677;0,2880271640456147;0,282319920023178
Todos;C(Estrato)[T.6];0,8180044156773129;0,2034990543573915;0,00011997590478520476;0,41377854315599805;1,2222302881986278;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.BOSA];-0,7803073601558957;0,420572887210322;0,0667844830681811;-1,6157237350783573;0,05510901476656571;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.CIUDAD BOLIVAR];-0,5239633150143699;0,36299563200571144;0,15232963354206785;-1,2450095455842627;0,19708291555552282;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.ENGATIVA];0,15283616407405337;0,18042592647008804;0,3991698452997412;-0,2055577743309428;0,5112301024790495;0,2880271640456147;0,282319920023178
