variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
O3;KENNEDY;2020;2023;24.51538616700208;22.273724635858265;55004;99%;24.270745946017843;24.76002638798632
O3;KENNEDY;2021;2021;23.008673523710463;21.161403239865773;19736;95%;22.71342371686294;23.303923330557986
O3;KENNEDY;2021;2021;23.008673523710463;21.161403239865773;19736;90%;22.76089564055367;23.256451406867257
O3;KENNEDY;2021;2021;23.008673523710463;21.161403239865773;19736;99%;22.62063577161876;23.39671127580217
O3;KENNEDY;2021;2022;22.74528728109871;21.150332405766328;29204;95%;22.502703300152767;22.987871262044656
O3;KENNEDY;2021;2022;22.74528728109871;21.150332405766328;29204;90%;22.541706366452726;22.948868195744698
O3;KENNEDY;2021;2022;22.74528728109871;21.150332405766328;29204;99%;22.426470264451023;23.0641042977464
O3;KENNEDY;2021;2023;23.338842477872745;21.411911687777327;37766;95%;23.122885640152194;23.554799315593296
O3;KENNEDY;2021;2023;23.338842477872745;21.411911687777327;37766;90%;23.157607149351392;23.5200778063941
O3;KENNEDY;2021;2023;23.338842477872745;21.411911687777327;37766;99%;23.0550218350563;23.62266312068919
O3;KENNEDY;2022;2022;22.19625993802885;21.117794460464832;9468;95%;21.770834893148052;22.621684982909645
O3;KENNEDY;2022;2022;22.19625993802885;21.117794460464832;9468;90%;21.83924269627636;22.553277179781336
O3;KENNEDY;2022;2022;22.19625993802885;21.117794460464832;9468;99%;21.637115404725957;22.75540447133174
O3;KENNEDY;2022;2023;23.70025204411495;21.677628711097597;18030;95%;23.383812202694436;24.016691885535465
O3;KENNEDY;2022;2023;23.70025204411495;21.677628711097597;18030;90%;23.434691540893454;23.965812547336448
O3;KENNEDY;2022;2023;23.70025204411495;21.677628711097597;18030;99%;23.284363487680373;24.116140600549528
O3;KENNEDY;2023;2023;25.36339117754443;22.163039221037835;8562;95%;24.893874309447636;25.832908045641222
O3;KENNEDY;2023;2023;25.36339117754443;22.163039221037835;8562;90%;24.969373272444013;25.757409082644845
O3;KENNEDY;2023;2023;25.36339117754443;22.163039221037835;8562;99%;24.74629107181724;25.98049128327162
O3;PUENTE ARANDA;2020;2020;19.232810946509222;17.177253888989288;10892;95%;18.91018723941172;19.555434653606724
O3;PUENTE ARANDA;2020;2020;19.232810946509222;17.177253888989288;10892;90%;18.96206365680939;19.503558236209052
O3;PUENTE ARANDA;2020;2020;19.232810946509222;17.177253888989288;10892;99%;18.808784331354143;19.6568375616643
O3;PUENTE ARANDA;2020;2021;19.818522431964233;18.39597478478112;27977;95%;19.60295203815917;20.034092825769296
O3;PUENTE ARANDA;2020;2021;19.818522431964233;18.39597478478112;27977;90%;19.637611890997253;19.999432972931213
O3;PUENTE ARANDA;2020;2021;19.818522431964233;18.39597478478112;27977;99%;19.5352078385875;20.101837025340966
O3;PUENTE ARANDA;2020;2022;19.29252173452481;18.504362465428386;45040;95%;19.12162463252464;19.463418836524983
O3;PUENTE ARANDA;2020;2022;19.29252173452481;18.504362465428386;45040;90%;19.14910126973268;19.435942199316944
O3;PUENTE ARANDA;2020;2022;19.29252173452481;18.504362465428386;45040;99%;19.067921388516712;19.51712208053291
O3;PUENTE ARANDA;2020;2023;20.009733637507253;19.010044867560456;62223;95%;19.860363353091802;20.159103921922704
O3;PUENTE ARANDA;2020;2023;20.009733637507253;19.010044867560456;62223;90%;19.88437871533898;20.135088559675527
O3;PUENTE ARANDA;2020;2023;20.009733637507253;19.010044867560456;62223;99%;19.81342560472684;20.206041670287664
O3;PUENTE ARANDA;2021;2021;20.191924217131106;19.12358454087224;17085;95%;19.905149625872824;20.47869880838939
O3;PUENTE ARANDA;2021;2021;20.191924217131106;19.12358454087224;17085;90%;19.95125939419496;20.432589040067253
O3;PUENTE ARANDA;2021;2021;20.191924217131106;19.12358454087224;17085;99%;19.815023110658863;20.56882532360335
O3;PUENTE ARANDA;2021;2022;19.31156735661295;18.908280213230857;34148;95%;19.11101264072389;19.512122072502013
O3;PUENTE ARANDA;2021;2022;19.31156735661295;18.908280213230857;34148;90%;19.143257933102866;19.479876780123035
O3;PUENTE ARANDA;2021;2022;19.31156735661295;18.908280213230857;34148;99%;19.04798839092677;19.575146322299133
O3;PUENTE ARANDA;2021;2023;20.174590000140952;19.372813465310173;51331;95%;20.00699495834616;20.342185041935746
O3;PUENTE ARANDA;2021;2023;20.174590000140952;19.372813465310173;51331;90%;20.033940585463753;20.31523941481815
O3;PUENTE ARANDA;2021;2023;20.174590000140952;19.372813465310173;51331;99%;19.95432978274473;20.394850217537176
O3;PUENTE ARANDA;2022;2022;18.43007541721468;18.64917920660968;17063;95%;18.15023468566325;18.709916148766112
O3;PUENTE ARANDA;2022;2022;18.43007541721468;18.64917920660968;17063;90%;18.195229581082565;18.664921253346797
O3;PUENTE ARANDA;2022;2022;18.43007541721468;18.64917920660968;17063;99%;18.06228730023019;18.797863534199173
O3;PUENTE ARANDA;2022;2023;20.16594212601618;19.496231884601553;34246;95%;19.95944728943578;20.37243696259658
O3;PUENTE ARANDA;2022;2023;20.16594212601618;19.496231884601553;34246;90%;19.99264763340964;20.33923661862272
O3;PUENTE ARANDA;2022;2023;20.16594212601618;19.496231884601553;34246;99%;19.894556374659512;20.437327877372848
O3;PUENTE ARANDA;2023;2023;21.88968615513101;20.15556645464564;17183;95%;21.588299375177392;22.191072935084627
O3;PUENTE ARANDA;2023;2023;21.88968615513101;20.15556645464564;17183;90%;21.63675857674222;22.1426137335198
O3;PUENTE ARANDA;2023;2023;21.88968615513101;20.15556645464564;17183;99%;21.4935806847906;22.28579162547142
O3;SAN CRISTOBAL;2020;2020;21.366203329369796;16.490992303728444;1682;95%;20.577534463449986;22.154872195289606
O3;SAN CRISTOBAL;2020;2020;21.366203329369796;16.490992303728444;1682;90%;20.70444342026232;22.027963238477273
O3;SAN CRISTOBAL;2020;2020;21.366203329369796;16.490992303728444;1682;99%;20.329285724114943;22.40312093462465
O3;SAN CRISTOBAL;2020;2021;24.048223874868185;17.15330843869287;9653;95%;23.70599291229878;24.39045483743759
O3;SAN CRISTOBAL;2020;2021;24.048223874868185;17.15330843869287;9653;90%;23.76102304823223;24.33542470150414
O3;SAN CRISTOBAL;2020;2021;24.048223874868185;17.15330843869287;9653;99%;23.598423602136382;24.49802414759999
O3;SAN CRISTOBAL;2020;2022;22.50986829120406;16.66476553035838;18323;95%;22.268556969392527;22.751179613015594
O3;SAN CRISTOBAL;2020;2022;22.50986829120406;16.66476553035838;18323;90%;22.307356585000782;22.71237999740734
O3;SAN CRISTOBAL;2020;2022;22.50986829120406;16.66476553035838;18323;99%;22.192719367561427;22.827017214846695
O3;SAN CRISTOBAL;2020;2023;19.484290310882376;15.11470736514913;26402;95%;19.301964005441306;19.666616616323445
O3;SAN CRISTOBAL;2020;2023;19.484290310882376;15.11470736514913;26402;90%;19.331278897803667;19.637301723961084
O3;SAN CRISTOBAL;2020;2023;19.484290310882376;15.11470736514913;26402;99%;19.2446665893255;19.72391403243925
O3;SAN CRISTOBAL;2021;2021;24.614170250169686;17.237586164934573;7971;95%;24.235697953558162;24.99264254678121
O3;SAN CRISTOBAL;2021;2021;24.614170250169686;17.237586164934573;7971;90%;24.29655760473008;24.93178289560929
O3;SAN CRISTOBAL;2021;2021;24.614170250169686;17.237586164934573;7971;99%;24.116729746226703;25.111610754112668
O3;SAN CRISTOBAL;2021;2022;22.625464978050115;16.678356305762488;16641;95%;22.372043616886426;22.878886339213803
O3;SAN CRISTOBAL;2021;2022;22.625464978050115;16.678356305762488;16641;90%;22.412790697211292;22.838139258888937
O3;SAN CRISTOBAL;2021;2022;22.625464978050115;16.678356305762488;16641;99%;22.29239887479288;22.95853108130735
O3;SAN CRISTOBAL;2021;2023;19.356241051291118;15.008269442341197;24720;95%;19.169140209485548;19.543341893096688
O3;SAN CRISTOBAL;2021;2023;19.356241051291118;15.008269442341197;24720;90%;19.199222879018173;19.513259223564063
O3;SAN CRISTOBAL;2021;2023;19.356241051291118;15.008269442341197;24720;99%;19.11034191667644;19.602140185905796
O3;SAN CRISTOBAL;2022;2022;20.79709476766198;15.930547731943458;8670;95%;20.461720381570196;21.132469153753767
O3;SAN CRISTOBAL;2022;2022;20.79709476766198;15.930547731943458;8670;90%;20.51564893124546;21.0785406040785
O3;SAN CRISTOBAL;2022;2022;20.79709476766198;15.930547731943458;8670;99%;20.356302598544396;21.237886936779567
O3;SAN CRISTOBAL;2022;2023;16.85394517426795;13.10087819839208;16749;95%;16.655525174000744;17.052365174535154
O3;SAN CRISTOBAL;2022;2023;16.85394517426795;13.10087819839208;16749;90%;16.68742868445175;17.02046166408415
O3;SAN CRISTOBAL;2022;2023;16.85394517426795;13.10087819839208;16749;99%;16.593166216623978;17.11472413191192
O3;SAN CRISTOBAL;2023;2023;12.622343865352699;6.99272213455343;8079;95%;12.469840075877176;12.774847654828221
O3;SAN CRISTOBAL;2023;2023;12.622343865352699;6.99272213455343;8079;90%;12.494363150441064;12.750324580264333
O3;SAN CRISTOBAL;2023;2023;12.622343865352699;6.99272213455343;8079;99%;12.421902581620397;12.822785149085
O3;SANTA FE;2020;2020;27.514987207433748;19.516733691730117;1282;95%;26.44563258997588;28.584341824891617
O3;SANTA FE;2020;2020;27.514987207433748;19.516733691730117;1282;90%;26.61775559710423;28.412218817763264
O3;SANTA FE;2020;2020;27.514987207433748;19.516733691730117;1282;99%;26.10884987341021;28.921124541457285
O3;SANTA FE;2020;2021;26.959402640308948;20.08302786393363;8613;95%;26.535211982234085;27.38359329838381
O3;SANTA FE;2020;2021;26.959402640308948;20.08302786393363;8613;90%;26.60342235790664;27.315382922711255
O3;SANTA FE;2020;2021;26.959402640308948;20.08302786393363;8613;99%;26.40187640165812;27.516928878959774
O3;SANTA FE;2020;2022;25.15378543504841;19.45698673289294;17119;95%;24.862301122336586;25.445269747760232
O3;SANTA FE;2020;2022;25.15378543504841;19.45698673289294;17119;90%;24.909168146898924;25.398402723197893
O3;SANTA FE;2020;2022;25.15378543504841;19.45698673289294;17119;99%;24.77069448345068;25.53687638664614
O3;SANTA FE;2020;2023;25.109984026756038;19.537927539601263;23762;95%;24.861552211343135;25.35841584216894
O3;SANTA FE;2020;2023;25.109984026756038;19.537927539601263;23762;90%;24.901495966816853;25.318472086695223
O3;SANTA FE;2020;2023;25.109984026756038;19.537927539601263;23762;99%;24.78347968063282;25.436488372879257
O3;SANTA FE;2021;2021;26.86224544278419;20.180154765457928;7331;95%;26.40022340382716;27.32426748174122
O3;SANTA FE;2021;2021;26.86224544278419;20.180154765457928;7331;90%;26.47451934837927;27.249971537189108
O3;SANTA FE;2021;2021;26.86224544278419;20.180154765457928;7331;99%;26.254987693985996;27.469503191582383
O3;SANTA FE;2021;2022;24.96264691940795;19.4402159498483;15837;95%;24.659853862517387;25.26543997629851
O3;SANTA FE;2021;2022;24.96264691940795;19.4402159498483;15837;90%;24.70853953272688;25.216754306089015
O3;SANTA FE;2021;2022;24.96264691940795;19.4402159498483;15837;99%;24.56469183775505;25.360602001060847
O3;SANTA FE;2021;2023;24.972830375615967;19.530644674344774;22480;95%;24.717507397583372;25.228153353648562
O3;SANTA FE;2021;2023;24.972830375615967;19.530644674344774;22480;90%;24.75855928488063;25.187101466351304
O3;SANTA FE;2021;2023;24.972830375615967;19.530644674344774;22480;99%;24.637268677913884;25.30839207331805
O3;SANTA FE;2022;2022;23.32545472861659;18.625490801292163;8506;95%;22.929582590134025;23.721326867099158
O3;SANTA FE;2022;2022;23.32545472861659;18.625490801292163;8506;90%;22.99323945113538;23.657670006097803
O3;SANTA FE;2022;2022;23.32545472861659;18.625490801292163;8506;99%;22.805147820889136;23.845761636344047
O3;SANTA FE;2022;2023;24.058492672968256;19.14227504631929;15149;95%;23.753643962028356;24.363341383908157
O3;SANTA FE;2022;2023;24.058492672968256;19.14227504631929;15149;90%;23.802660366357383;24.31432497957913
O3;SANTA FE;2022;2023;24.058492672968256;19.14227504631929;15149;99%;23.657835082174888;24.459150263761625
O3;SANTA FE;2023;2023;24.99710787011642;19.746009070551693;6643;95%;24.522183511406965;25.472032228825874
O3;SANTA FE;2023;2023;24.99710787011642;19.746009070551693;6643;90%;24.59855582702978;25.39565991320306
O3;SANTA FE;2023;2023;24.99710787011642;19.746009070551693;6643;99%;24.372885820414393;25.621329919818447
O3;SUBA;2020;2020;28.401961011888876;24.2524067844285;14730;95%;28.0102757310702;28.79364629270755
O3;SUBA;2020;2020;28.401961011888876;24.2524067844285;14730;90%;28.073254700152027;28.730667323625724
O3;SUBA;2020;2020;28.401961011888876;24.2524067844285;14730;99%;27.88717488624657;28.916747137531182
O3;SUBA;2020;2021;23.168844446467556;21.16940685301262;43912;95%;22.97083899705712;23.366849895877994
O3;SUBA;2020;2021;23.168844446467556;21.16940685301262;43912;90%;23.002674109734873;23.33501478320024
O3;SUBA;2020;2021;23.168844446467556;21.16940685301262;43912;99%;22.908617036853926;23.429071856081187
O3;SUBA;2020;2022;21.200151678358313;20.512722016440183;69001;95%;21.047095342751522;21.353208013965105
O3;SUBA;2020;2022;21.200151678358313;20.512722016440183;69001;90%;21.071703281045234;21.328600075671392
O3;SUBA;2020;2022;21.200151678358313;20.512722016440183;69001;99%;20.998999520569765;21.401303836146862
O3;SUBA;2020;2023;20.447696351481895;19.55085096767076;94518;95%;20.32305502679577;20.57233767616802
O3;SUBA;2020;2023;20.447696351481895;19.55085096767076;94518;90%;20.343094368684476;20.552298334279314
