variable,localidad,year_start,year_end,mean,std,n
CO,SUBA,2020,2023,448.95402724715865,242.16538385665243,102886
CO,SUBA,2021,2021,429.985243833695,255.94120373262882,33857
CO,SUBA,2021,2022,443.37020422317556,251.78834182087328,59627
CO,SUBA,2021,2023,446.9409720085258,242.43617592833291,85558
CO,SUBA,2022,2022,458.1496102785265,246.28358511921908,25770
CO,SUBA,2022,2023,455.9100722716187,234.4861293436513,51701
CO,SUBA,2023,2023,453.8505537858042,223.07202946856293,25931
CO,TUNJELITO,2020,2020,845.9723020767777,479.91391450183716,8748
CO,TUNJELITO,2020,2021,906.1624448367432,520.9982598003365,17475
CO,TUNJELITO,2020,2022,962.6134492208207,537.0812312286953,26129
CO,TUNJELITO,2020,2023,938.6122550876023,525.5403993555818,34865
CO,TUNJELITO,2021,2021,961.6135909670686,550.4009898359166,8727
CO,TUNJELITO,2021,2022,1016.5423315566806,553.3104623603391,17381
CO,TUNJELITO,2021,2023,968.0003336130962,535.8816716190545,26117
CO,TUNJELITO,2022,2022,1071.8817543189252,550.7454747937621,8654
CO,TUNJELITO,2022,2023,971.354530591316,528.0826021401483,17390
CO,TUNJELITO,2023,2023,861.8884276644193,478.84546948672835,8736
CO,USAQUEN,2020,2020,557.6042212825934,322.82379873974617,8754
CO,USAQUEN,2020,2021,540.0005485296799,333.9103799892181,18977
CO,USAQUEN,2020,2022,545.375541927278,352.9199918261459,27718
CO,USAQUEN,2020,2023,529.0231830837789,349.068159402068,36456
CO,USAQUEN,2021,2021,525.2124212659102,342.26362030506664,10223
CO,USAQUEN,2021,2022,539.8280687798381,365.63076833243196,18964
CO,USAQUEN,2021,2023,520.1389567520993,356.3719134912088,27702
CO,USAQUEN,2022,2022,556.9865985555427,390.60956881426716,8741
CO,USAQUEN,2022,2023,517.1589762915097,364.38094109215297,17479
CO,USAQUEN,2023,2023,477.28054170494096,331.33414855696657,8738
CO,USME,2020,2020,656.9130508816121,369.83127652821025,20070
CO,USME,2020,2021,623.0343676320525,367.0965560143829,28697
CO,USME,2020,2022,611.1064515268706,369.50629604424046,37142
CO,USME,2020,2023,596.5469649652274,363.89585954174566,45738
CO,USME,2021,2021,543.8338185207866,348.00453632989513,8627
CO,USME,2021,2022,556.2788467758079,361.57665847687844,17072
CO,USME,2021,2023,548.3638130314849,351.7371691850285,25668
CO,USME,2022,2022,569.3359003916964,374.866652421762,8445
CO,USME,2022,2023,550.7123405312004,353.64453803138616,17041
CO,USME,2023,2023,532.5203707121303,330.616867487354,8596
NO2,ALL,2020,2020,32.85176301659286,17.614972834258044,154198
NO2,ALL,2020,2021,30.14765034753416,18.20080001784729,333080
NO2,ALL,2020,2022,29.91623099960063,17.97084178089396,497638
NO2,ALL,2020,2023,29.540638800586,17.935332986362603,663781
NO2,ALL,2021,2021,28.276029383981932,18.36380627448581,178882
NO2,ALL,2021,2022,28.80912315561429,17.979227494927436,343440
NO2,ALL,2021,2023,28.692583541420884,17.918331977112985,509583
NO2,ALL,2022,2022,29.447384578540536,17.486374137719437,164558
NO2,ALL,2022,2023,28.93727460301737,17.646861524978345,330701
NO2,ALL,2023,2023,28.445937306021634,17.78630985350895,166143
NO2,BARRIOS UNIDOS,2020,2020,32.037748359211356,15.012926179681237,30580
NO2,BARRIOS UNIDOS,2020,2021,30.5238510395763,15.23083797059597,41762
NO2,BARRIOS UNIDOS,2020,2022,29.75024617260212,14.991822929791034,50508
NO2,BARRIOS UNIDOS,2020,2023,28.70155707867124,14.94667256550754,59228
NO2,BARRIOS UNIDOS,2021,2021,26.415813356189098,15.059440729625788,11182
NO2,BARRIOS UNIDOS,2021,2022,26.09255328229665,14.212929088002008,19928
