Sintoma_predicho;Variable;tipo_variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Tos;USAQUEN;Localidad;0.0659773786433081;0.0881301162985434;0.4559658331776578;-0.1090315662008478;0.240986323487464;0.2263594527854032;0.1453588883109767
Tos;USME;Localidad;-0.3793903964504813;0.145872998569541;0.0108189902029876;-0.6690652616739416;-0.089715531227021;0.2263594527854032;0.1453588883109767
Tos;PM25;Contaminante;0.0188481406801853;0.0387505465878218;0.6278301201135855;-0.0581027650408035;0.0957990464011742;0.2263594527854032;0.1453588883109767
Tos;CO;Contaminante;-0.105178526978897;0.0502924600666655;0.0392240930244043;-0.2050493854271964;-0.0053076685305976;0.2263594527854032;0.1453588883109767
Tos;SO2;Contaminante;0.1454162530356166;0.0507666617203663;0.0051642812227117;0.0446037240830324;0.2462287819882007;0.2263594527854032;0.1453588883109767
Tos;O3;Contaminante;-0.023675268897329;0.0328724434307478;0.4731981368883914;-0.0889534267040886;0.0416028889094304;0.2263594527854032;0.1453588883109767
Congestión_nasal;Intercept;Intercept;0.2309606516631309;0.0782397719164297;0.0039966855492599;0.0755919706374814;0.3863293326887805;0.2815999943221496;0.156201392165593
Congestión_nasal;2;Estrato;-0.06575365724249;0.0501340907367519;0.1928987439914586;-0.1653100255881101;0.03380271110313;0.2815999943221496;0.156201392165593
Congestión_nasal;3;Estrato;-0.041618700386579;0.0518359658304351;0.4240841236564461;-0.1445546553810252;0.0613172546078671;0.2815999943221496;0.156201392165593
Congestión_nasal;4;Estrato;0.0066540534103823;0.0624313608890058;0.9153502482786288;-0.1173222563150843;0.130630363135849;0.2815999943221496;0.156201392165593
Congestión_nasal;5;Estrato;0.2132815884201018;0.0934462274945455;0.0247453085574932;0.0277159003176606;0.398847276522543;0.2815999943221496;0.156201392165593
Congestión_nasal;6;Estrato;0.5760134347039239;0.1112938207220857;1.3047758575108491e-06;0.3550059635885272;0.7970209058193205;0.2815999943221496;0.156201392165593
Congestión_nasal;BOSA;Localidad;-0.1763051966598375;0.1506727922183286;0.2449427039522128;-0.4755115008195456;0.1229011074998706;0.2815999943221496;0.156201392165593
Congestión_nasal;CIUDAD BOLIVAR;Localidad;-0.1516708272113524;0.1272742536915592;0.2364169800265842;-0.4044122711115613;0.1010706166888565;0.2815999943221496;0.156201392165593
Congestión_nasal;ENGATIVA;Localidad;0.053514573321976;0.0791085385414553;0.5004211195045474;-0.1035793060438924;0.2106084526878444;0.2815999943221496;0.156201392165593
Congestión_nasal;FONTIBON;Localidad;0.087742009204242;0.0979676984040268;0.3727670900543172;-0.1068024240337589;0.282286442442243;0.2815999943221496;0.156201392165593
Congestión_nasal;KENNEDY;Localidad;0.0310219467368331;0.1514033380831783;0.8381011176269121;-0.2696350767267564;0.3316789702004226;0.2815999943221496;0.156201392165593
Congestión_nasal;PUENTE ARANDA;Localidad;0.0303356844612951;0.0932316163693317;0.7456245485823476;-0.1548038284793176;0.2154751974019078;0.2815999943221496;0.156201392165593
Congestión_nasal;SANTA FE;Localidad;0.0509199135786387;0.1557174052225314;0.7444011830266237;-0.2583039922374879;0.3601438193947653;0.2815999943221496;0.156201392165593
Congestión_nasal;SUBA;Localidad;-0.0417812747102719;0.0862620250634787;0.6292740705383211;-0.2130805605904729;0.1295180111699291;0.2815999943221496;0.156201392165593
Congestión_nasal;USAQUEN;Localidad;0.1049351123973987;0.0947038534588776;0.2707044638409149;-0.0831279716267814;0.2929981964215789;0.2815999943221496;0.156201392165593
Congestión_nasal;USME;Localidad;-0.1899350284681694;0.1567538505604491;0.2287057279502085;-0.5012171093168034;0.1213470523804645;0.2815999943221496;0.156201392165593
Congestión_nasal;PM25;Contaminante;0.0282698260294098;0.0416409990096102;0.4988910308185261;-0.0544209453550468;0.1109605974138666;0.2815999943221496;0.156201392165593
Congestión_nasal;CO;Contaminante;-0.0739270052535678;0.0540438384547856;0.1746371023971048;-0.1812473577112937;0.0333933472041581;0.2815999943221496;0.156201392165593
Congestión_nasal;SO2;Contaminante;0.0822525072078939;0.0545534114113207;0.1350100129069256;-0.0260797561514609;0.1905847705672489;0.2815999943221496;0.156201392165593
Congestión_nasal;O3;Contaminante;-0.0394851989704337;0.0353244406821717;0.2665372209703531;-0.1096325373678417;0.0306621394269743;0.2815999943221496;0.156201392165593
Todos;Intercept;Intercept;0.4892239211848113;0.1418227786891359;0.0008457981051688;0.2075919899483589;0.7708558524212636;0.2992784844438931;0.283141360581905
Todos;2;Estrato;-0.1145877899975918;0.0908764926223711;0.2104925435754003;-0.2950504939284812;0.0658749139332976;0.2992784844438931;0.283141360581905
Todos;3;Estrato;-0.1172359185839617;0.0939614281846296;0.2152725388202375;-0.303824693151524;0.0693528559836006;0.2992784844438931;0.283141360581905
Todos;4;Estrato;-0.0642967709466845;0.1131673682290444;0.571297997358846;-0.2890247361006629;0.1604311942072938;0.2992784844438931;0.283141360581905
Todos;5;Estrato;0.4249430263422847;0.1693870434010123;0.0138485883512074;0.0885739282298796;0.7613121244546898;0.2992784844438931;0.283141360581905
Todos;6;Estrato;0.8150213731800435;0.2017388154274799;0.0001099349087149;0.4144080674801768;1.2156346788799102;0.2992784844438931;0.283141360581905
