variable;localidad;year_start;year_end;mean;std;n;ci_90_lower;ci_90_upper;ci_95_lower;ci_95_upper;ci_99_lower;ci_99_upper
CO;FONTIBÓN;2020;2022;879,9862625684503;509,9594028443477;7195;870,096100914328;889,8764242225727;868,2009428115945;891,7715823253062;864,4962230558095;895,4763020810911
CO;FONTIBÓN;2020;2023;741,1327865195378;459,95156338191936;24491;736,2982758233768;745,9672972156989;735,3720449120345;746,8935281270411;733,5616728002424;748,7039002388333
CO;FONTIBÓN;2021;2022;879,9862625684503;509,9594028443477;7195;870,096100914328;889,8764242225727;868,2009428115945;891,7715823253062;864,4962230558095;895,4763020810911
CO;FONTIBÓN;2021;2023;741,1327865195378;459,95156338191936;24491;736,2982758233768;745,9672972156989;735,3720449120345;746,8935281270411;733,5616728002424;748,7039002388333
CO;FONTIBÓN;2022;2022;879,9862625684503;509,9594028443477;7195;870,096100914328;889,8764242225727;868,2009428115945;891,7715823253062;864,4962230558095;895,4763020810911
CO;FONTIBÓN;2022;2023;741,1327865195378;459,95156338191936;24491;736,2982758233768;745,9672972156989;735,3720449120345;746,8935281270411;733,5616728002424;748,7039002388333
CO;FONTIBÓN;2023;2023;683,3708323005319;424,3051174761278;17296;678,0637484266285;688,6779161744353;677,0469479809718;689,694716620092;675,0595038877361;691,6821607133277
CO;KENNEDY;2020;2020;1000,7274074074074;603,4302797540952;16470;992,9929119967379;1008,461902818077;991,5110287530575;1009,9437860617574;988,6145190213643;1012,8402957934505
CO;KENNEDY;2020;2021;1277,1338892259791;850,6538317914383;34689;1269,621193014341;1284,6465854376172;1268,1818862577097;1286,0858921942486;1265,368726187751;1288,8990522642073
CO;KENNEDY;2020;2022;1279,417314260678;921,9791130735341;43080;1272,1106385733053;1286,7239899480508;1270,7108157824703;1288,1238127388858;1267,9748501845756;1290,8597783367804
CO;KENNEDY;2020;2023;1235,7292110924209;880,0798928385091;51125;1229,3268441021896;1242,1315780826521;1228,1002779063367;1243,358144278505;1225,7029564001764;1245,7554657846654
