Contaminante;Sintoma;Correlacion;Localidad;Año
NO2;Casos de sibilancia último año;;PUENTE ARANDA;2021
O3;Casos de sibilancia último año;;PUENTE ARANDA;2021
CO;Casos de sibilancia último año;2.425471952500734e-16;SAN CRISTOBAL;2021
PM10;Casos de sibilancia último año;5.42500769847693e-16;SAN CRISTOBAL;2021
NO2;Casos de sibilancia último año;3.6865681955513707e-16;SAN CRISTOBAL;2021
O3;Casos de sibilancia último año;5.616925025041153e-17;SAN CRISTOBAL;2021
CO;Casos de sibilancia último año;-2.917116790773047e-16;SANTA FE;2021
PM10;Casos de sibilancia último año;-2.275027825847718e-16;SANTA FE;2021
NO2;Casos de sibilancia último año;-3.1894047910688356e-16;SANTA FE;2021
O3;Casos de sibilancia último año;2.820006259080708e-16;SANTA FE;2021
CO;Casos de sibilancia último año;1.918637763019141e-15;SUBA;2021
PM10;Casos de sibilancia último año;1.5311367832442209e-15;SUBA;2021
NO2;Casos de sibilancia último año;-4.381424072789921e-15;SUBA;2021
O3;Casos de sibilancia último año;-5.932140266148745e-17;SUBA;2021
CO;Casos de sibilancia último año;-1.3351731601826321e-15;TEUSAQUILLO;2021
PM10;Casos de sibilancia último año;-2.856181086200774e-16;TEUSAQUILLO;2021
NO2;Casos de sibilancia último año;-1.1284036810503774e-15;TEUSAQUILLO;2021
O3;Casos de sibilancia último año;4.857620051749226e-17;TEUSAQUILLO;2021
CO;Casos de sibilancia último año;4.4363429468068063e-16;USAQUEN;2021
PM10;Casos de sibilancia último año;6.504344122064976e-16;USAQUEN;2021
NO2;Casos de sibilancia último año;6.580293516811558e-16;USAQUEN;2021
O3;Casos de sibilancia último año;5.0007816883086567e-17;USAQUEN;2021
CO;Casos de sibilancia último año;-5.292943579162848e-16;USME;2021
PM10;Casos de sibilancia último año;-1.6476230543448437e-15;USME;2021
NO2;Casos de sibilancia último año;-1.1458870068872059e-15;USME;2021
O3;Casos de sibilancia último año;2.465007481781319e-16;USME;2021
CO;Casos de sibilancia último año;2.736116629798169e-16;ANTONIO NARINO;2022
PM10;Casos de sibilancia último año;2.1235423085297527e-16;ANTONIO NARINO;2022
NO2;Casos de sibilancia último año;2.380576892996557e-17;ANTONIO NARINO;2022
O3;Casos de sibilancia último año;-6.249714008076237e-16;ANTONIO NARINO;2022
CO;Casos de sibilancia último año;-2.6916628378182293e-17;BARRIOS UNIDOS;2022
PM10;Casos de sibilancia último año;-2.7242042381597714e-16;BARRIOS UNIDOS;2022
NO2;Casos de sibilancia último año;-9.867284412309704e-16;BARRIOS UNIDOS;2022
O3;Casos de sibilancia último año;-5.539302051271597e-16;BARRIOS UNIDOS;2022
CO;Casos de sibilancia último año;1.6124461485042498e-17;CANDELARIA;2022
PM10;Casos de sibilancia último año;-1.8335024294998307e-16;CANDELARIA;2022
NO2;Casos de sibilancia último año;-1.7087794865989345e-16;CANDELARIA;2022
O3;Casos de sibilancia último año;-1.542952936107062e-16;CANDELARIA;2022
CO;Casos de sibilancia último año;-1.9567839804436195e-16;CHAPINERO;2022
PM10;Casos de sibilancia último año;-7.454404327474677e-16;CHAPINERO;2022
NO2;Casos de sibilancia último año;-5.216347689297228e-16;CHAPINERO;2022
O3;Casos de sibilancia último año;-3.7212325737138257e-16;CHAPINERO;2022
CO;Casos de sibilancia último año;4.994360123843862e-16;CIUDAD BOLIVAR;2022
PM10;Casos de sibilancia último año;9.787397086715806e-16;CIUDAD BOLIVAR;2022
NO2;Casos de sibilancia último año;8.0732371926633e-16;CIUDAD BOLIVAR;2022
O3;Casos de sibilancia último año;1.1578706185640656e-16;CIUDAD BOLIVAR;2022
CO;Casos de sibilancia último año;7.427838311743238e-16;ENGATIVA;2022
PM10;Casos de sibilancia último año;1.553954510492945e-16;ENGATIVA;2022
NO2;Casos de sibilancia último año;-2.0009053214731406e-16;ENGATIVA;2022
O3;Casos de sibilancia último año;-1.7320327898630389e-16;ENGATIVA;2022
CO;Casos de sibilancia último año;-1.0512092512897894e-16;FONTIBON;2022
PM10;Casos de sibilancia último año;1.71319988013561e-16;FONTIBON;2022
NO2;Casos de sibilancia último año;-9.97271745963004e-17;FONTIBON;2022
O3;Casos de sibilancia último año;-5.765845051913274e-17;FONTIBON;2022
CO;Casos de sibilancia último año;-1.4845145827775695e-15;KENNEDY;2022
PM10;Casos de sibilancia último año;-8.908438311001762e-16;KENNEDY;2022
NO2;Casos de sibilancia último año;1.6556904247106064e-15;KENNEDY;2022
O3;Casos de sibilancia último año;2.9358089278076673e-15;KENNEDY;2022
CO;Casos de sibilancia último año;6.127447721928023e-16;PUENTE ARANDA;2022
PM10;Casos de sibilancia último año;1.1477318615608006e-15;PUENTE ARANDA;2022
NO2;Casos de sibilancia último año;1.4939986071211066e-15;PUENTE ARANDA;2022
O3;Casos de sibilancia último año;2.460529627016593e-16;PUENTE ARANDA;2022
CO;Casos de sibilancia último año;1.1617756275264034e-16;SAN CRISTOBAL;2022
PM10;Casos de sibilancia último año;-2.018523300193181e-16;SAN CRISTOBAL;2022
NO2;Casos de sibilancia último año;-2.7198485464771542e-17;SAN CRISTOBAL;2022
