;Estacion;Anio;Mes;Hora;Localidad;mean_CO_granular;mean_NO2_granular;mean_O3_granular;mean_PM10_granular;mean_PM25_granular;mean_SO2_granular;mean_CO_local;mean_NO2_local;mean_O3_local;mean_PM10_local;mean_PM25_local;mean_SO2_local
87;BOGOTA RURAL - MOCHUELO;2022;4;15;FONTIBÓN;;;;;27.5853;16.0523;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
88;BOGOTA RURAL - MOCHUELO;2022;4;16;FONTIBÓN;;;;;25.6233;17.5283;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
89;BOGOTA RURAL - MOCHUELO;2022;4;17;FONTIBÓN;;;;;24.6;22.2583;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
90;BOGOTA RURAL - MOCHUELO;2022;4;18;FONTIBÓN;;;;;30.7333;22.0593;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
91;BOGOTA RURAL - MOCHUELO;2022;4;19;FONTIBÓN;;;;;35.2;21.6423;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
92;BOGOTA RURAL - MOCHUELO;2022;4;20;FONTIBÓN;;;;;38.8;17.6577;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
93;BOGOTA RURAL - MOCHUELO;2022;4;21;FONTIBÓN;;;;;31.8333;16.5633;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
94;BOGOTA RURAL - MOCHUELO;2022;4;22;FONTIBÓN;;;;;29.8333;14.5007;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
95;BOGOTA RURAL - MOCHUELO;2022;4;23;FONTIBÓN;;;;;32.0667;14.669;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
96;BOGOTA RURAL - MOCHUELO;2022;5;0;FONTIBÓN;;;;;24.129;19.1687;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
97;BOGOTA RURAL - MOCHUELO;2022;5;1;FONTIBÓN;;;;;27.3871;18.2026;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
