;variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
1888;PM25;SAN CRISTOBAL;2023;2023;11.63468931751248;9.995004615680523;8079;90%;11.451760865380932;11.817617769644029
1889;PM25;SAN CRISTOBAL;2023;2023;11.63468931751248;9.995004615680523;8079;99%;11.348189794504446;11.921188840520514
1890;PM25;SANTA FE;2020;2020;13.01945146923524;10.318937491251754;1282;95%;12.454059553363328;13.58484338510715
1891;PM25;SANTA FE;2020;2020;13.01945146923524;10.318937491251754;1282;90%;12.545064871128993;13.493838067341485
1892;PM25;SANTA FE;2020;2020;13.01945146923524;10.318937491251754;1282;99%;12.275994931728015;13.762908006742464
1893;PM25;SANTA FE;2020;2021;11.920111904929446;10.013251359137401;8613;95%;11.708613533653992;12.1316102762049
1894;PM25;SANTA FE;2020;2021;11.920111904929446;10.013251359137401;8613;90%;11.742622729953375;12.097601079905516
1895;PM25;SANTA FE;2020;2021;11.920111904929446;10.013251359137401;8613;99%;11.642133384720806;12.198090425138085
1896;PM25;SANTA FE;2020;2022;13.552321626997275;10.536714075186868;17119;95%;13.394471549664658;13.710171704329891
1897;PM25;SANTA FE;2020;2022;13.552321626997275;10.536714075186868;17119;90%;13.419851863900742;13.684791390093807
1898;PM25;SANTA FE;2020;2022;13.552321626997275;10.536714075186868;17119;99%;13.344862996470864;13.759780257523685
1899;PM25;SANTA FE;2020;2023;13.459569646181565;10.428538011464628;23762;95%;13.326967013428455;13.592172278934676
1900;PM25;SANTA FE;2020;2023;13.459569646181565;10.428538011464628;23762;90%;13.348287338802475;13.570851953560656
1901;PM25;SANTA FE;2020;2023;13.459569646181565;10.428538011464628;23762;99%;13.285295124098662;13.633844168264469
1902;PM25;SANTA FE;2021;2021;11.72786619200624;9.947077855009484;7331;95%;11.500129128259717;11.955603255752765
1903;PM25;SANTA FE;2021;2021;11.72786619200624;9.947077855009484;7331;90%;11.536750628607985;11.918981755404497
1904;PM25;SANTA FE;2021;2021;11.72786619200624;9.947077855009484;7331;99%;11.428540434817661;12.02719194919482
1905;PM25;SANTA FE;2021;2022;13.59545729298521;10.553288862319285;15837;95%;13.431083471052656;13.759831114917766
1906;PM25;SANTA FE;2021;2022;13.59545729298521;10.553288862319285;15837;90%;13.457512906944824;13.733401679025597
1907;PM25;SANTA FE;2021;2022;13.59545729298521;10.553288862319285;15837;99%;13.379423945323573;13.811490640646849
1908;PM25;SANTA FE;2021;2023;13.484668912322366;10.434421381110162;22480;95%;13.348260330552835;13.621077494091898
1909;PM25;SANTA FE;2021;2023;13.484668912322366;10.434421381110162;22480;90%;13.370192668050741;13.599145156593991
