Estacion,Localidad,Fecha,Año,Concentracion
Carvajal - Sevillana,Kennedy,2020-01-06 10:00:00,2020,43
Carvajal - Sevillana,Kennedy,2020-01-06 11:00:00,2020,36
Carvajal - Sevillana,Kennedy,2020-01-06 12:00:00,2020,31
Carvajal - Sevillana,Kennedy,2020-01-06 13:00:00,2020,43
Carvajal - Sevillana,Kennedy,2020-01-06 14:00:00,2020,43
Carvajal - Sevillana,Kennedy,2020-01-06 15:00:00,2020,41
Carvajal - Sevillana,Kennedy,2020-01-06 16:00:00,2020,38
Carvajal - Sevillana,Kennedy,2020-01-06 17:00:00,2020,33
Carvajal - Sevillana,Kennedy,2020-01-06 18:00:00,2020,33
Carvajal - Sevillana,Kennedy,2020-01-06 19:00:00,2020,32
Carvajal - Sevillana,Kennedy,2020-01-06 20:00:00,2020,32
Carvajal - Sevillana,Kennedy,2020-01-06 21:00:00,2020,35
Carvajal - Sevillana,Kennedy,2020-01-06 22:00:00,2020,27
Carvajal - Sevillana,Kennedy,2020-01-06 23:00:00,2020,33
Carvajal - Sevillana,Kennedy,2020-01-07 00:00:00,2020,26
Carvajal - Sevillana,Kennedy,2020-01-07 01:00:00,2020,28
Carvajal - Sevillana,Kennedy,2020-01-07 02:00:00,2020,29
Carvajal - Sevillana,Kennedy,2020-01-07 03:00:00,2020,27
Carvajal - Sevillana,Kennedy,2020-01-07 04:00:00,2020,32
Carvajal - Sevillana,Kennedy,2020-01-07 05:00:00,2020,59
Carvajal - Sevillana,Kennedy,2020-01-07 06:00:00,2020,67
Carvajal - Sevillana,Kennedy,2020-01-07 07:00:00,2020,61
Carvajal - Sevillana,Kennedy,2020-01-07 08:00:00,2020,60
Carvajal - Sevillana,Kennedy,2020-01-07 09:00:00,2020,57
Carvajal - Sevillana,Kennedy,2020-01-07 10:00:00,2020,52
Carvajal - Sevillana,Kennedy,2020-01-07 11:00:00,2020,49
Carvajal - Sevillana,Kennedy,2020-01-07 12:00:00,2020,35
Carvajal - Sevillana,Kennedy,2020-01-07 13:00:00,2020,43
Carvajal - Sevillana,Kennedy,2020-01-07 14:00:00,2020,50
Carvajal - Sevillana,Kennedy,2020-01-07 15:00:00,2020,52
Carvajal - Sevillana,Kennedy,2020-01-07 16:00:00,2020,53
Carvajal - Sevillana,Kennedy,2020-01-07 17:00:00,2020,53
Carvajal - Sevillana,Kennedy,2020-01-07 18:00:00,2020,46
Carvajal - Sevillana,Kennedy,2020-01-07 19:00:00,2020,46
Carvajal - Sevillana,Kennedy,2020-01-07 20:00:00,2020,48
Carvajal - Sevillana,Kennedy,2020-01-07 21:00:00,2020,51
Carvajal - Sevillana,Kennedy,2020-01-07 22:00:00,2020,40
Carvajal - Sevillana,Kennedy,2020-01-07 23:00:00,2020,42
Carvajal - Sevillana,Kennedy,2020-01-08 00:00:00,2020,50
Carvajal - Sevillana,Kennedy,2020-01-08 01:00:00,2020,52
Carvajal - Sevillana,Kennedy,2020-01-08 02:00:00,2020,46
Carvajal - Sevillana,Kennedy,2020-01-08 03:00:00,2020,54
Carvajal - Sevillana,Kennedy,2020-01-08 04:00:00,2020,49
Carvajal - Sevillana,Kennedy,2020-01-08 05:00:00,2020,51
Carvajal - Sevillana,Kennedy,2020-01-08 06:00:00,2020,59
Carvajal - Sevillana,Kennedy,2020-01-08 07:00:00,2020,53
Carvajal - Sevillana,Kennedy,2020-01-08 08:00:00,2020,62
Carvajal - Sevillana,Kennedy,2020-01-08 09:00:00,2020,77
Carvajal - Sevillana,Kennedy,2020-01-08 10:00:00,2020,66
Carvajal - Sevillana,Kennedy,2020-01-08 11:00:00,2020,63
Carvajal - Sevillana,Kennedy,2020-01-08 12:00:00,2020,59
Carvajal - Sevillana,Kennedy,2020-01-08 13:00:00,2020,68
Carvajal - Sevillana,Kennedy,2020-01-08 14:00:00,2020,63
Carvajal - Sevillana,Kennedy,2020-01-08 15:00:00,2020,67
